
[00:00:00.080 --> 00:00:06.080]   Hello, and welcome to 21 and 21. I'm Haley Bercow, and today I'm speaking with Jamison Lopp.
[00:00:06.080 --> 00:00:12.340]   Jamison Lopp is a longtime Bitcoiner, cypherpunk, and the co-founder and chief security officer of Casa.
[00:00:12.340 --> 00:00:18.860]   He's well known for his writing on Bitcoin privacy and security and his extensive website of resources, Lopp.net.
[00:00:18.860 --> 00:00:21.440]   Jamison, welcome to Presidio Bitcoin.
[00:00:21.440 --> 00:00:26.160]   First time here. It's been a while, actually, since I've been in the Bay Area.
[00:00:26.160 --> 00:00:29.780]   My initial gig was at BitGo, which is in Palo Alto.
[00:00:30.560 --> 00:00:34.880]   Well, I'm glad that you could make it back and swing by first, but hopefully not your last time.
[00:00:34.880 --> 00:00:41.740]   So we're just going to get through as many questions as we can in 21 minutes. Are you ready?
[00:00:41.740 --> 00:00:42.320]   Fire away.
[00:00:42.320 --> 00:00:47.200]   All right. First question. So you've obviously done a lot. You do a lot.
[00:00:47.200 --> 00:00:50.580]   What's one thing that's top of mind for you right now?
[00:00:51.500 --> 00:01:01.280]   I'm actually mostly focused on what I consider to be really, really long-term existential issues that I think we as Bitcoiners need to be thinking about.
[00:01:01.280 --> 00:01:05.640]   So, you know, that's one of the reasons I'm here today for the Quantum Bitcoin Summit.
[00:01:05.640 --> 00:01:23.260]   And it's why I talk about other sort of vague things like ossification, which I think will eventually have ripple effects with regard to a lot of other things that Bitcoin should probably do to improve itself over the years and decades.
[00:01:25.160 --> 00:01:27.300]   Yes. Quantum is definitely one of those.
[00:01:27.300 --> 00:01:29.200]   And you're here for the Quantum Bitcoin Summit.
[00:01:29.200 --> 00:01:38.480]   So I saw that you recently tweeted about a new Bitcoin improvement protocol proposal aimed at promoting post-quantum crypto migration.
[00:01:39.180 --> 00:01:43.340]   Can you maybe give a high-level explanation in layman's terms for our listeners?
[00:01:43.340 --> 00:01:48.040]   Yeah. So the short version is I'm not saying that we need to do anything today.
[00:01:48.040 --> 00:01:50.000]   Once again, this is a very long-term thing.
[00:01:50.000 --> 00:01:58.380]   I just think that if we get to the point where we do believe that quantum computing has advanced sufficiently,
[00:01:58.380 --> 00:02:02.720]   that it is going to become a threat to Bitcoin's cryptography,
[00:02:03.240 --> 00:02:15.760]   then this is a very different situation that we've never encountered before because we're going to want everyone to actually migrate their funds to new locking scripts and new signature schemes.
[00:02:15.760 --> 00:02:22.180]   And so my proposal is basically how do we think about the incentives and the game theory around that?
[00:02:22.600 --> 00:02:27.500]   Because one of the arguments that I make is that if we do this as an opt-in-only thing,
[00:02:27.500 --> 00:02:37.000]   it's unfortunately probably going to be insufficient simply because a lot of people are ignorant, naive, lazy, procrastinators, so on and so forth.
[00:02:37.000 --> 00:02:41.620]   And that even if we got a significant amount of the ecosystem moved over,
[00:02:41.620 --> 00:02:47.160]   they could still end up being significantly harmed as a result of all of the people who don't do anything.
[00:02:47.160 --> 00:02:52.060]   So this is something that more than developers will need to be thinking about in the future.
[00:02:52.160 --> 00:02:54.320]   This will be Bitcoin users, Bitcoin wallets.
[00:02:54.320 --> 00:02:55.400]   This affects everybody.
[00:02:55.400 --> 00:02:56.500]   It affects everybody.
[00:02:56.500 --> 00:03:03.400]   Do you think there's a way that we can make this kind of more easier on the UX side for people that are less technical?
[00:03:03.400 --> 00:03:05.520]   For sure.
[00:03:05.520 --> 00:03:11.620]   But that is all a moot point unless we first can decide what to do at the protocol level.
[00:03:11.620 --> 00:03:18.820]   You know, first you have to make protocol level changes and then it can take years for them to matriculate throughout the rest of the ecosystem and get adopted
[00:03:18.820 --> 00:03:21.500]   and then eventually get down to the actual user level.
[00:03:21.720 --> 00:03:23.580]   Got it.
[00:03:23.580 --> 00:03:31.340]   So you've been in the Bitcoin space for a very long time and you said right now you're focused on these kind of like long-term existential problems.
[00:03:31.340 --> 00:03:35.840]   What's something that you've maybe changed your mind about along the way?
[00:03:37.440 --> 00:03:59.360]   I mean, Bitcoin itself has changed and this is one thing that I've said a few times, which is basically that once you've been in Bitcoin long enough, I think you start to understand that you need to be fairly flexible and understand that, you know, this is kind of a living ecosystem and it does change.
[00:03:59.360 --> 00:04:07.480]   Even if the protocol itself doesn't significantly change, the way that people view the protocol, the way that people use it changes and the narratives of what Bitcoin is change.
[00:04:07.480 --> 00:04:20.660]   So compared to 13, 14 years ago when I first started being interested in it, like what Bitcoin was to the average Bitcoiner, drastically different thing than what it is today.
[00:04:21.020 --> 00:04:30.800]   And of course, that can then have trickle on effects to the long term forward trajectory of what Bitcoin can actually do at a technical level.
[00:04:30.800 --> 00:04:38.840]   You know, if people, what people have in their head is their narrative of what Bitcoin is, is different than what we might be proposing it can do at a technical level.
[00:04:38.840 --> 00:04:44.320]   Well, I think you've already seen a number of the conflicts that can happen as a result of that over the past year or two.
[00:04:44.320 --> 00:04:45.440]   Yes, definitely.
[00:04:45.440 --> 00:04:51.320]   What's a project that you're currently very excited about in the Bitcoin space right now?
[00:04:54.520 --> 00:05:12.340]   I mean, I like to see further development of layer twos and so any novel layer two that is not simply a glorified multi-sig is interesting to me.
[00:05:12.340 --> 00:05:22.380]   So some of the BitVM stuff, I think Citra is one of the first that looks like they're going to get out of the gate with these zero knowledge rollup layers.
[00:05:22.700 --> 00:05:24.360]   That's interesting to me.
[00:05:24.360 --> 00:05:33.420]   There's been a decent amount of development with eCache mints, several different projects there, which you can argue.
[00:05:33.420 --> 00:05:39.720]   I mean, obviously, there's trade-offs to all of these things, but you can argue that they offer somewhat better user experience than Lightning.
[00:05:39.720 --> 00:05:44.000]   Of course, there are security trade-offs, but there's also privacy improvements.
[00:05:46.780 --> 00:05:52.180]   Then most recently, we actually saw Botanics launch.
[00:05:52.180 --> 00:06:01.360]   Now, I think that they are launching with multi-sig, but their ultimate goal is to get to a very different type of pegging mechanism.
[00:06:01.360 --> 00:06:03.620]   That's just the best way to describe it.
[00:06:03.680 --> 00:06:09.260]   They call it spider chain as this sort of rolling, ongoing set of multi-sigs.
[00:06:09.260 --> 00:06:20.760]   So I'm just interested in seeing more experimentation around that, especially anything that is creating a trustless or trust-minimized peg-in and peg-out system.
[00:06:22.960 --> 00:06:27.340]   Are you thinking much about the intersection of AI and Bitcoin?
[00:06:27.340 --> 00:06:39.580]   I mean, I don't think that we're really at the point where AI agents are going to be holding and using Bitcoin.
[00:06:39.940 --> 00:06:43.820]   It's, I mean, over a long period of time, that may be inevitable.
[00:06:43.820 --> 00:06:55.960]   From a day-to-day perspective, most of what I'm seeing AI being used at is sort of development-driven tooling and improvements and stuff.
[00:06:55.960 --> 00:06:58.480]   So it can be helpful from a productivity standpoint.
[00:06:58.480 --> 00:07:04.680]   Sometimes from a security standpoint, it can find bugs that other developers may miss in peer review.
