
[00:00:00.000 --> 00:00:10.880]   all right everybody i am very excited to bring jameson lopp to you all satillionaires here today
[00:00:10.880 --> 00:00:19.120]   he adopted bitcoin very early he takes us through an incredibly deep understanding of bitcoin
[00:00:19.120 --> 00:00:25.840]   how it works why it's valuable and where he thinks it should go next along with some practical tips
[00:00:25.840 --> 00:00:33.120]   for stacking your first sats securing them it's an incredible show and we have an absolutely brand
[00:00:33.120 --> 00:00:38.640]   new flavor of ithaca hummus to debut today on the show this is the collaboration between
[00:00:38.640 --> 00:00:49.840]   ithaca hummus and grasa olive oil so here's jameson welcome to sat chats the bitcoin podcast where we
[00:00:49.840 --> 00:00:55.280]   chat about sats sats are the smallest part of a bitcoin the same way pennies are the smallest
[00:00:55.280 --> 00:01:00.880]   part of a dollar with sat chats we're building the world's biggest bitcoin welcome center to serve
[00:01:00.880 --> 00:01:09.600]   as your gateway to generational wealth so if you are new to bitcoin we want to chat about sats with you
[00:01:09.600 --> 00:01:17.440]   hit satchats.com to grab your slot in the studio today i'm your host stewart bitcoin maxi who wears
[00:01:17.440 --> 00:01:24.480]   prescription sunglasses to protect you and your loved ones from my bitcoin laser eyes and i'm your co-host
[00:01:24.480 --> 00:01:33.600]   chris founder and ceo of ithaca hummus proud multi-coiner and bitcoin smash buyer so smash that like and
[00:01:33.600 --> 00:01:41.120]   subscribe the same way chris smash buys bitcoin we have a big show for you today three big things are
[00:01:41.120 --> 00:01:46.320]   going to be happening number one we're going to announce a brand new giveaway on the show
[00:01:46.320 --> 00:01:54.240]   we are trying to reach 999 plus one subscribers as soon as possible and when we do we will choose one
[00:01:54.240 --> 00:02:01.440]   from among you and drop a million sats on your face we are going to turn you into a satillionaire
[00:02:02.000 --> 00:02:09.920]   overnight because we are that focused on helping each and every satillionaire out there stack their
[00:02:09.920 --> 00:02:17.200]   first sats on the show so let's do make it happen and you might get a million sats number two we have a
[00:02:17.200 --> 00:02:23.520]   brand new flavor of hummus to try on today's show never before seen and we'll keep it in the shadows
[00:02:23.520 --> 00:02:32.720]   but really the biggest news is that we have jameson lop on the show today who is our very first bitcoin
[00:02:32.720 --> 00:02:39.120]   heavy on the show so we're going to be hearing jameson's bitcoin story today but before we do
[00:02:39.120 --> 00:02:46.480]   jameson maybe you can help our satillionaires uh get to know you a little bit sure so you know
